11/3/2016, 7.76110934,  1678.04610223,  13023.49928009, 9856.39894086, 5.87373549
15/3/2016, 7.76066591,  1696.80259876,  13168.31807971, 9830.34682081, 5.79345342
16/3/2016, 7.75931259,  1690.85971312,  13119.90905849, 9892.86470606, 5.85078977
17/3/2016, 7.75553798,  1689.83289119,  13105.56316557, 10016.92723989, 5.92776202
18/3/2016, 7.75592862,  1694.89731781,  13145.50262203, 9994.01634677, 5.89653204
21/3/2016, 7.75356793,  1701.29334359,  13191.09351366, 9999.30529795, 5.87747277
24/3/2016, 7.75865123,  1712.91881475,  13289.93966392, 10002.61899953, 5.83951727
25/3/2016, 7.75736545,  1711.92187148,  13280.00358198, 9971.27584468, 5.82460918
1/4/2016, 7.74974438,  1692.85940385,  13119.22764674, 10090.26596463, 5.9604867
6/4/2016, 7.75553361,  1698.32136708,  13171.38845006, 10009.42417805, 5.89371621
7/4/2016, 7.76165895,  1698.28349089,  13181.49725897, 9893.4559728, 5.82556212
8/4/2016, 7.76122276,  1691.11201501,  13125.09706374, 9910.72386876, 5.86047747
14/4/2016, 7.75664358,  1700.56614755,  13190.68549103, 10145.32987765, 5.96585431
22/4/2016, 7.76230273,  1701.5438511,  13207.89847616, 10188.08281966, 5.98755231
15/4/2016, 7.75496105,  1697.03439314,  13160.43562637, 10163.3786547, 5.98890553
29/4/2016, 7.76234511,  1698.65478079,  13185.54463143, 10028.26904423, 5.90365338
5/5/2016, 7.76142143,  1706.48476889,  13244.74745703, 9887.83456023, 5.79427062
6/5/2016, 7.76204122,  1721.60148797,  13363.14171844, 9854.98755133, 5.72431403
13/5/2016, 7.76355958,  1717.56461276,  13334.41521114, 9692.45920144, 5.64314095
16/5/2016, 7.76316692,  1715.91264718,  13320.91629769, 9712.61197752, 5.66031843
20/5/2016, 7.76318486,  1757.5527678,  13644.20703727, 9855.34622363, 5.60742551
27/5/2016, 7.76860435,  1748.27558884,  13581.66134962, 9762.92007633, 5.58431413
3/6/2016, 7.76804571,  1728.54837621,  13427.44280367, 9899.0595408, 5.72680503
10/6/2016, 7.76308584,  1719.11868294,  13345.66590088, 9845.4079358, 5.72700886
16/6/2016, 7.75820771,  1724.51708426,  13379.1617321, 9861.06097697, 5.71815789
17/6/2016, 7.76180657,  1718.88377567,  13341.6433861, 9872.59721083, 5.74360952
24/6/2016, 7.76133034,  1725.6215595,  13393.1189566, 10026.46375543, 5.81034915
1/7/2016, 7.75622885,  1688.91963514,  13099.64719507, 9844.55388767, 5.82890605
8/7/2016, 7.75679608,  1692.55099121,  13128.77289982, 9937.60745231, 5.87137847
15/7/2016, 7.75565566,  1689.83410624,  13105.77145317, 9935.85347518, 5.87978041
22/7/2016, 7.75744749,  1691.14698786,  13118.98395113, 9793.58865186, 5.79109251
29/7/2016, 7.75621714,  1685.64654316,  13074.24061422, 9937.30462958, 5.89524813
5/8/2016, 7.75362935,  1692.59019591,  13123.7170121, 9996.50999906, 5.90604272
12/8/2016, 7.75710639,  1688.52820961,  13098.09296035, 10018.68408413, 5.93338271
19/8/2016, 7.75452755,  1699.69527038,  13180.33380431, 10052.71045285, 5.91441927
26/8/2016, 7.7579927,  1712.59842746,  13286.32610317, 10048.38576757, 5.86733329
2/9/2016, 7.75570795,  1702.08902574,  13200.90538299, 9993.39712269, 5.87125407
9/9/2016, 7.75830989,  1699.61502994,  13186.14009473, 9941.74381913, 5.84940922
16/9/2016, 7.75876332,  1698.07495594,  13174.96168428, 9871.79831572, 5.8135233
